MATBR;MARKTX;WERKS;MAINS;LABST
10101;ABRAÇADEIRA INOX;BT10;100;150
10102;ADAPTADOR PVC;BT50;100;400
10101;ABRAÇADEIRA INOX;BT50;100;90
10001;PARAFUSO;BT10;100;250
10103;AMORTECEDOR MOLA;BT16;100;12
10002;MARTELO;BT10;100;30
10104;ANEL DE VEDAÇÃO;BT15;100;600
10104;ANEL DE VEDAÇÃO;BT50;100;150
10003;PREGO;BT10;100;800
10105;AVENTAL DE RASPA;BT14;100;45
10106;BALDE PLÁSTICO;BT13;100;70
10004;SERRA;BT50;100;40
10107;BARRA ROSCADA;BT10;100;110
10107;BARRA ROSCADA;BT50;100;65
10108;BATERIA 12V;BT11;100;14
10005;MACHADO;BT50;100;15
10109;BLOCO TERMINAL;BT11;100;230
10110;BOBINA DE SOLDA;BT10;100;25
10101;ABRAÇADEIRA INOX;BT10;100;300
10111;BOMBA PERISTÁLTICA;BT15;100;4
10112;BORRACHA ESPONJOSA;BT13;100;55
10001;PARAFUSO;BT50;100;180
10113;BRAÇO TENSOR;BT16;100;8
10114;CABO COAXIAL;BT11;100;500
10115;CADEADO REFORÇADO;BT10;100;40
10115;CADEADO REFORÇADO;BT14;100;20
10116;CAIXA DE PASSAGEM;BT11;100;85
10003;PREGO;BT50;100;1200
10117;CALIBRADOR DE PNEU;BT10;100;6
10118;CÂMARA DE AR;BT16;100;32
10119;CAMISA DE CILINDRO;BT16;100;10
10104;ANEL DE VEDAÇÃO;BT15;100;400
10120;CAPA DE CHUVA;BT14;100;95
10121;CARRETEU DE NYLON;BT10;100;50
10122;CHAVE BIOTESTE;BT11;100;15
10002;MARTELO;BT50;100;200
10123;CHIP INTERFACE;BT11;100;60
10124;CILINDRO PNEUMÁTICO;BT15;100;18
10124;CILINDRO PNEUMÁTICO;BT50;100;5
10125;CINTA DE CARGA;BT14;100;36
10126;COLA CONTATO;BT13;100;48
10107;BARRA ROSCADA;BT10;100;90
10127;COMPRESSOR PORTÁTIL;BT10;100;3
10128;CONECTOR RJ45;BT11;100;1500
10128;CONECTOR RJ45;BT12;100;500
10129;CONTRA-PINO;BT10;100;2500
10004;SERRA;BT10;100;15
10130;CORREIA SINCRONA;BT16;100;42
10131;COUTADOR HORÁRIO;BT11;100;22
10132;DESENGRAXANTE ECO;BT13;100;60
10132;DESENGRAXANTE ECO;BT50;100;40
10133;DIODO RETIFICADOR;BT11;100;800
10134;DISCO DIAMANTADO;BT10;100;65
10001;PARAFUSO;BT10;100;90
10135;ENGATE RÁPIDO;BT15;100;140
10136;ESCORVA AUTOMÁTICA;BT15;100;7
10137;ESPATULA NYLON;BT10;100;30
10115;CADEADO REFORÇADO;BT10;100;15
10138;ESPELHO DE TOMADA;BT12;100;180
10139;ESPUDE DE BORRACHA;BT15;100;220
10140;ESTILETE RETRÁTIL;BT10;100;75
10140;ESTILETE RETRÁTIL;BT14;100;12
10141;EXTINTOR PQS 4KG;BT14;100;28
10142;FILTRO DE AR;BT16;100;50
10142;FILTRO DE AR;BT50;100;35
10143;FIO DE COBRE REFU;BT11;100;900
10005;MACHADO;BT10;100;8
10144;FLUIDO CORTE SPRAY;BT13;100;110
10145;FUSÍVEL NH00 100A;BT11;100;45
10146;GAXETA TRANÇADA;BT15;100;30
10124;CILINDRO PNEUMÁTICO;BT15;100;12
10147;GERADOR PORTÁTIL;BT11;100;2
10148;GRAMPO PRESILHA;BT10;100;450
10149;GRAXA GRAFITADA;BT13;100;35
10128;CONECTOR RJ45;BT11;100;800
10150;HASTE DE ATERRAMENTO;BT11;100;60
10151;INTERRUPTOR SIMPLES;BT12;100;140
10152;ISOLADOR PORCELANA;BT11;100;90
10101;ABRAÇADEIRA INOX;BT50;100;210
10153;JOELHO COBRE 90;BT15;100;130
10154;KIT DE VEDAÇÃO ORING;BT16;100;40
10154;KIT DE VEDAÇÃO ORING;BT50;100;25
10155;LÂMPADA HALÓGENA;BT12;100;65
10156;LEITOR DE CÓDIGO;BT12;100;8
10142;FILTRO DE AR;BT16;100;20
10157;LIMITADOR DE CURSO;BT11;100;16
10158;LÍQUIDO PENETRANTE;BT13;100;50
10159;LONA PLÁSTICA 4X4;BT14;100;18
10132;DESENGRAXANTE ECO;BT13;100;15
10160;MANGUEIRA HIDRÁULICA;BT15;100;120
10161;MANILHA DE CARGA;BT14;100;24
10162;MÓDULO DE EXPANSÃO;BT11;100;6
10003;PREGO;BT10;100;450
10163;NIPLE REDUÇÃO;BT15;100;190
10164;ORGANIZADOR CABOS;BT12;100;80
10165;PALHA DE AÇO;BT13;100;300
10140;ESTILETE RETRÁTIL;BT10;100;40
10166;PAINEL ELÉTRICO VAZIO;BT11;100;4
10167;PEDRA DE AMOLAR;BT10;100;25
10168;PINO ELÁSTICO;BT10;100;850
